longBusinessSummary,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,yield,totalAssets,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,navPrice,currency,category,ytdReturn,beta3Year,fundFamily,fundInceptionDate,legalType,threeYearAverageReturn,fiveYearAverageReturn,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,trailingPegRatio,phone,forwardPE,currentPrice,recommendationKey,marketCap,recommendationMean
"The fund is an actively-managed ETF that seeks to achieve its investment objective by investing in a portfolio of stocks that make up the S&P 500® Index and a call options strategy, which consists of a mix of written (sold) call options and long (bought) call options on the S&P 500® Index. Under certain circumstances, the call options strategy may include transactions with covered call options.",86400,2,51.52,50.83,50.7,51.3901,51.52,50.83,50.7,51.3901,27.083572,1041365,1041365,784033,861690,861690,51.46,51.63,800,1400,0.1204,2617584128,46.38,52.78,51.7742,50.6979,,,51.7564,USD,Derivative Income,0.0284868,,Neos Funds,1661731200,Exchange Traded Fund,,,BTS,ETF,SPYI,SPYI,NEOS S&P 500 High Income ETF,Neos S&P 500(R) High Income ETF,1661866200,America/New_York,EST,2255e26f-5e22-3da6-bff8-af20f3b913f2,finmb_1789795442,-18000000,,9144435008,,,,,
"The fund will invest, under normal market conditions, at least 80% of its net assets (plus the amount of any borrowings for investment purposes) in the equity securities of large capitalization (or “cap”) companies or in other investments with similar economic characteristics. The manager defines large cap companies as companies whose market capitalizations typically fall within the range of the Russell 1000® Index.",86400,2,49.74,49.16,48.96,49.63,49.74,49.16,48.96,49.63,27.372711,70890,70890,89511,71640,71640,49.41,49.48,1000,1100,0.0083,2748261632,47.16,50.363,48.987354,48.987354,,,50.1395,USD,Large Blend,0.0426796,1.01,Morgan Stanley,690422400,Exchange Traded Fund,0.1112457,0.1270781,PCX,ETF,MSLC,MSLC,Morgan Stanley Pathway Funds Mo,Morgan Stanley Pathway Large Cap Equity ETF,1733927400,America/New_York,EST,2760a72a-5514-3f41-b6df-798f4e30805a,finmb_28200955,-18000000,,,,,,,
The fund invests at least 80% of its total assets in the securities of the index. It also invests at least 80% of its total assets in securities of master limited partnerships and energy infrastructure corporations. The fund's 80% investment policies are non-fundamental and require 60 days prior written notice to shareholders before they can be changed. The index tracks the performance of midstream energy infrastructure MLPs and corporations. It is non-diversified.,86400,2,62.61,61.9,61.41,63.63,62.61,61.9,61.41,63.63,17.968431,983385,983385,565910,691830,691830,62.5,65.0,1000,1100,0.0431,2394351360,43.12,67.47,62.475,55.19215,,,65.63,USD,Energy Limited Partnership,0.085535005,0.85,Global X Funds,1375747200,Exchange Traded Fund,0.27398622,0.1991223,PCX,ETF,MLPX,MLPX,Global X MLP & Energy Infrastru,Global X MLP & Energy Infrastructure ETF,1375882200,America/New_York,EST,0c68a7c9-f9a9-3f79-b2e1-166559c21f16,finmb_243965352,-18000000,,+1 8884938631,,,,,
"The fund invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in securities that the Sub-Adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index measures the performance of U.S. dollar-denominated high-yield municipal bonds issued by U.S. states, the District of Columbia, U.S. territories and local governments or agencies.",86400,2,25.6157,25.7,25.665,25.7664,25.6157,25.7,25.665,25.7664,,1268013,1268013,986658,1335630,1335630,25.3,28.21,1100,2900,0.0429,2820467200,25.07,26.33,25.7672,25.77685,,,25.56425,USD,High Yield Muni,0.0039093,1.21,SPDR State Street Global Advisors,1302652800,Exchange Traded Fund,-0.0054615005,0.0065409,PCX,ETF,HYMB,HYMB,SPDR Nuveen Bloomberg High Yiel,SPDR Nuveen Bloomberg High Yield Municipal Bond ETF,1302787800,America/New_York,EST,626af98a-932a-373a-a036-598848568958,finmb_129842776,-18000000,,,,,,,
"The fund employs an indexing investment approach designed to track the performance of the index, an index made up of stocks of large, mid-size, and small U.S. companies within the materials sector, as classified under the GICS. The Advisor attempts to replicate the target index by seeking to invest all, or substantially all, of its assets in the stocks that make up the index, in order to hold each stock in approximately the same proportion as its weighting in the index. The fund is non-diversified.",86400,2,197.33,194.77,193.0,197.265,197.33,194.77,193.0,197.265,23.266352,72524,72524,52593,43410,43410,191.9,200.15,800,900,0.017,3832792064,179.0,215.82,198.3372,200.70615,,,198.46,USD,Natural Resources,0.0568037,1.22,Vanguard,1075075200,Exchange Traded Fund,0.047369298,0.1083624,PCX,ETF,VAW,VAW,Vanguard Materials ETF,Vanguard Materials Index Fund ETF Shares,1075473000,America/New_York,EST,2ae85459-0976-3a26-a9c8-6390e8ed81de,finmb_22939102,-18000000,,,,,,,
"The adviser seeks to meet its objective by investing primarily in equities, including common stock, preferred stock and bonds which are convertible to common stock, that the adviser identifies to be attractively valued given their growth potential over a long-term time horizon. The securities held by the fund will predominantly be of companies with market capitalizations similar to those within the universe of the Russell 1000 Value Index (which includes both large cap and mid cap companies).",86400,2,66.12,65.19,64.9843,65.99,66.12,65.19,64.9843,65.99,21.64124,355587,355587,475976,393030,393030,65.32,66.17,1300,900,0.0145000005,2422430208,55.136,68.77,65.738,62.53635,,,66.4056,USD,Large Value,0.049605098,0.81,JPMorgan,1633305600,Exchange Traded Fund,0.1026269,,PCX,ETF,JAVA,JAVA,JPMorgan Active Value ETF,JPMorgan Active Value ETF,1633440600,America/New_York,EST,c71e8d17-d41c-31de-8d26-0881d69662ff,finmb_1673459282,-18000000,,(800) 480-4111,,,,,
"The fund generally will invest at least 80% of its assets in the component securities of its underlying index. The index measures the performance of U.S.-listed equity real estate investment trusts (""REITs""), excluding infrastructure REITs, mortgage REITs, and timber REITs.",86400,2,57.84,57.15,56.72,57.89,57.84,57.15,56.72,57.89,32.302116,406076,406076,364876,381640,381640,57.7,58.88,1100,1000,0.028499998,2829148928,49.12,63.22,58.7052,57.1745,,,58.16967,USD,Real Estate,0.0155296,1.15,iShares,1177977600,Exchange Traded Fund,0.0092192,0.0392748,PCX,ETF,USRT,USRT,iShares Core U.S. REIT ETF,iShares Core U.S. REIT ETF,1178285400,America/New_York,EST,00bfdc62-933d-39c4-8d63-8e2ce6bea6d6,finmb_34214469,-18000000,,1-800-474-2737,,,,,
"Under normal circumstances, at least 95% of the fund's total assets will be invested in constituent securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such constituent securities. The index is a fundamentally weighted index that is comprised of the highest dividend-yielding common stocks selected from the WisdomTree Emerging Markets Dividend Index. The fund is non-diversified.",86400,2,41.23,40.61,40.61,41.34,41.23,40.61,40.61,41.34,7.9268417,449516,449516,302803,329200,329200,40.18,41.19,1300,800,0.0519,2750473728,39.36,45.47,41.0982,42.6955,,,41.517,USD,Diversified Emerging Mkts,0.022227699,0.86,WisdomTree,1184284800,Exchange Traded Fund,0.0403754,0.0435054,PCX,ETF,DEM,DEM,WisdomTree Emerging Markets Hig,WisdomTree Emerging Markets High Dividend Fund,1184333400,America/New_York,EST,377c92f5-80b6-3dea-9551-ea50221de7eb,finmb_35615252,-18000000,,866-909-9473,,,,,
"Under normal market conditions, the fund seeks to achieve its investment objective by investing primarily in equity securities of U.S. companies with market capitalizations of at least $1 billion. The fund may also invest up to 20% of its assets in exchange-traded American Depositary Receipts (“ADRs”) and common stocks of non-U.S. issuers, including emerging market issuers, that are listed and trade on a foreign exchange contemporaneously with fund shares. The fund is non-diversified.",86400,2,35.12,34.41,34.4,34.97,35.12,34.41,34.4,34.97,42.330193,36849,36849,97356,32810,32810,31.84,38.22,800,1200,,2802079488,27.361,36.298,35.02092,32.34309,,,35.99,USD,Large Growth,0.0404249,1.12,Nuveen,1632700800,Exchange Traded Fund,0.16667838,,PCX,ETF,NUGO,NUGO,Nuveen Growth Opportunities ETF,Nuveen Growth Opportunities ETF,1632835800,America/New_York,EST,45780cd7-9685-383f-a59f-44aac3363ccc,finmb_1675281273,-18000000,,,,,,,
"The fund invests at least 80% of assets in securities included in the fund's underlying index. The fund's underlying index is the MSCI USA IMI Health Care 25/50 Index, which represents the performance of the health care sector in the U.S. equity market. It may or may not hold all of the securities in the MSCI USA IMI Health Care 25/50 Index. The fund is non-diversified.",86400,2,69.83,69.19,69.19,70.3,69.83,69.19,69.19,70.3,32.25088,167746,167746,150331,161790,161790,66.71,71.0,1200,1200,0.0150999995,2618556160,64.72,74.48,67.6608,69.52755,,,68.71863,USD,Health,0.0514155,0.69,Fidelity Investments,1382313600,Exchange Traded Fund,0.0489748,0.0815188,PCX,ETF,FHLC,FHLC,Fidelity MSCI Health Care Index,Fidelity MSCI Health Care Index ETF,1382621400,America/New_York,EST,a3b5ab7b-8318-3246-8afb-f224b97f8d46,finmb_243638580,-18000000,,,,,,,
"The fund invests at least 80% of its total assets in the securities of the underlying index. The underlying index is designed to provide exposure to exchange-listed companies in developed markets that are involved in the development of robotics and/or artificial intelligence as defined by Indxx, the provider of the underlying index. The fund is non-diversified.",86400,2,33.18,32.14,32.11,32.84,33.18,32.14,32.11,32.84,35.27886,706178,706178,580331,833740,833740,32.49,32.73,100,200,0.0013,2592763392,26.6,34.856,33.0262,31.5602,,,34.37,USD,Miscellaneous Sector,0.0794992,1.55,Global X Funds,1473638400,Exchange Traded Fund,0.0578652,0.092736505,NGM,ETF,BOTZ,BOTZ,Global X Robotics & Artificial ,Global X Robotics & Artificial Intelligence ETF,1473773400,America/New_York,EST,4fb59605-d648-3475-ac0b-b9bce17a9ee2,finmb_369688055,-18000000,,+1 8884938631,,,,,
"The fund will normally invest at least 80% of assets in common stocks included in the Russell Midcap® Index, which is a market capitalization-weighted index designed to measure the performance of the mid-cap segment of the U.S. equity market. The adviser will generally utilizing a research-driven approach identifying long-term drivers of stock returns that may include,but are not limited to, valuation, growth, quality, and other factors.",86400,2,34.45,33.75,33.69,34.3996,34.45,33.75,33.69,34.3996,20.73976,193293,193293,362826,352670,352670,28.9,51.31,1100,800,0.0111,2016917248,27.42,35.438,34.07222,31.5234,,,34.57414,USD,Mid-Cap Blend,0.0511416,1.07,Fidelity Investments,1198108800,Exchange Traded Fund,0.110338405,0.1245658,PCX,ETF,FMDE,FMDE,Fidelity Covington Trust Fideli,Fidelity Enhanced Mid Cap ETF,1700490600,America/New_York,EST,4f12de78-b863-351d-b0e6-57b68625265d,finmb_53367357,-18000000,,,,,,,
"The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in depositary receipts based on securities comprising the index. The index is comprised of 90 of the largest U.S. and foreign publicly-traded companies, based on market capitalization, in natural resources and commodities businesses that meet certain investability requirements.",86400,2,52.19,51.58,51.352,52.2244,52.19,51.58,51.352,52.2244,15.116035,133011,133011,348548,161240,161240,46.79,55.91,1400,900,0.047399998,2589903360,48.54,60.64,52.431,55.52255,,,52.94769,USD,Natural Resources,0.0625,0.88,SPDR State Street Global Advisors,1284336000,Exchange Traded Fund,0.0266249,0.074732095,PCX,ETF,GNR,GNR,SPDR S&P Global Natural Resourc,SPDR S&P Global Natural Resources ETF,1284471000,America/New_York,EST,bc5d7210-4421-3503-b8a6-a7dd82b40947,finmb_113360049,-18000000,,,,,,,
The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index is designed to measure broad-based equity performance in Canada. The underlying index includes large- and mid-capitalization companies and may change over time.,86400,2,41.22,40.16,39.825,40.83,41.22,40.16,39.825,40.83,18.789848,10899950,10899950,2281053,2545010,2545010,40.97,41.07,3200,2900,0.0224,2539624192,35.05,43.33,41.4462,39.73335,0.644,0.015623483,41.53008,USD,Miscellaneous Region,0.0334988,1.01,iShares,826588800,Exchange Traded Fund,0.0606678,0.0885523,PCX,ETF,EWC,EWC,iShares MSCI Canada Index Fund,iShares MSCI Canada ETF,827159400,America/New_York,EST,99c96b1d-8224-37ef-8267-019ce04d1616,finmb_6456769,-18000000,,,,,,,
"The fund generally will invest at least 80% of its total assets in the securities that comprise the underlying index. Strictly in accordance with its guidelines and mandated procedures, Invesco Indexing LLC compiles and maintains the underlying index. The index provider is affiliated with Invesco Capital Management LLC, the fund’s investment adviser (the “Adviser”), and Invesco Distributors, Inc., the fund’s distributor.",86400,2,19.495,19.49,19.47,19.4985,19.495,19.49,19.47,19.4985,,2053479,2053479,896000,1715430,1715430,19.48,19.49,100,200,0.0427,2438023424,19.01,19.84,19.4886,19.44886,,,19.45,USD,Target Maturity,0.002547,0.69,Invesco,1506470400,Exchange Traded Fund,0.0084404,0.0144943,NGM,ETF,BSCR,BSCR,Invesco BulletShares 2027 Corpo,Invesco BulletShares 2027 Corporate Bond ETF,1506519000,America/New_York,EST,37863898-da20-378c-b9a3-1e7f73f32081,finmb_532720557,-18000000,,(800) 983-0903,,,,,
"The fund will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index measures the performance of U.S. stocks issued by mid-capitalization companies that have exhibited above-average ""growth"" characteristics as determined by Morningstar, Inc.'s proprietary index methodology.",86400,2,79.38,77.97,77.785,79.31,79.38,77.97,77.785,79.31,30.626663,176516,176516,154391,171380,171380,78.24,81.63,800,1400,0.0078,2470413568,64.17,81.68,78.3722,72.1002,0.05,0.00062988163,79.5431,USD,Mid-Cap Growth,0.053621102,1.15,iShares,1088380800,Exchange Traded Fund,0.0840829,0.1247551,PCX,ETF,IMCG,IMCG,iShares Morningstar Mid-Cap Gro,iShares Morningstar Mid-Cap Growth ETF,1089725400,America/New_York,EST,7861e267-6114-3786-bc67-c8f74c8b5da3,finmb_22892346,-18000000,,1-800-474-2737,,,,,
"The underlying index measures the performance of investment-grade corporate bonds of both U.S. and non-U.S. issuers that are U.S. dollar-denominated and publicly issued in the U.S. domestic market and have a remaining maturity of greater than or equal to ten years. The fund will invest at least 80% of its assets in the component securities of the underlying index, and the fund will invest at least 90% of its assets in fixed income securities of the types included in the underlying index that the advisor believes will help the fund track the underlying index.",86400,2,49.4141,49.63,49.47,49.92,49.4141,49.63,49.47,49.92,,948629,948629,718501,762600,762600,48.0,49.98,3100,900,0.051,2695514368,48.17,54.42,50.2356,51.06115,,,49.50625,USD,Long-Term Bond,0.002834,2.03,iShares,1260230400,Exchange Traded Fund,-0.0509657,-0.0237274,PCX,ETF,IGLB,IGLB,iShares 10  Year Investment Gra,iShares 10+ Year Investment Grade Corporate Bond ETF,1260369000,America/New_York,EST,09b5f2f3-3b25-30a4-bae1-1b06729d354e,finmb_82762928,-18000000,,1-800-474-2737,,,,,
"The fund seeks to achieve its objective by investing opportunistically among multiple debt markets and sectors that the fund’s adviser, J.P. Morgan Investment Management Inc. (JPMIM or the adviser) believes have high potential to produce income and have low correlations to each other in order to manage risk. It has broad flexibility to invest in a wide variety of debt securities and instruments of any maturity.",86400,2,45.7902,45.98,45.7116,45.98,45.7902,45.98,45.7116,45.98,,450112,450112,467655,705400,705400,45.5,46.0,1800,3100,0.0614,2495241472,44.8,46.43,45.7904,45.69489,,,45.6815,USD,Multisector Bond,0.0050415997,0.58,JPMorgan,1635379200,Exchange Traded Fund,0.0271863,,PCX,ETF,JPIE,JPIE,JPMorgan Income ETF,JPMorgan Income ETF,1635859800,America/New_York,EST,30779f23-95f0-3a9e-89bc-f65322aad12a,finmb_1673572815,-18000000,,(800) 480-4111,,,,,
"The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index measures the performance of the mid-capitalization value segment of the U.S. equity market. It may purchase a subset of the securities in the index in an effort to hold a portfolio of securities with generally the same risk and return characteristics of the index.",86400,2,83.34,81.69,81.1,82.7769,83.34,81.69,81.1,82.7769,18.154966,225757,225757,654056,160640,160640,81.57,82.82,800,800,0.0189,2864155392,69.93,87.81,83.0114,78.05675,,,83.68229,USD,Small Value,0.0428928,1.07,SPDR State Street Global Advisors,1131408000,Exchange Traded Fund,0.0876395,0.1121136,PCX,ETF,MDYV,MDYV,SPDR S&P 400 Mid Cap Value ETF ,SPDR S&P 400 Mid Cap Value ETF,1132065000,America/New_York,EST,ebba2e71-d794-396a-91a9-44f68eb91af6,finmb_25497903,-18000000,,,,,,,
"Under normal circumstances, the fund invests at least 80% of its net assets, plus any borrowings for investment purposes, in equity securities of U.S. companies with very large (""mega"") market capitalizations at the time of purchase. For this fund, companies with mega capitalizations are those with market capitalizations in the top 50th percentile of the S&P 500 Index at the time of purchase. The fund is non-diversified.",86400,2,61.89,60.93,60.93,61.998,61.89,60.93,60.93,61.998,28.687555,64216,64216,104818,115590,115590,61.61,62.03,200,200,0.0104,2562724608,48.515,62.74,60.54948,55.95552,,,61.76852,USD,Large Blend,0.028652301,0.95,Principal Funds,1507680000,Exchange Traded Fund,0.1602587,0.1580248,NGM,ETF,USMC,USMC,Principal U.S. Mega-Cap ETF,Principal U.S. Mega-Cap ETF,1507815000,America/New_York,EST,279894b1-5250-3d15-aac8-d1c11e1e90b8,finmb_537781877,-18000000,,515-235-9328,,,,,
"The fund generally will invest at least 90% of its total assets in securities that comprise the underlying index. The underlying index is composed of approximately 1,500 common stocks and is designed to track the performance of small- and medium-sized U.S. companies based on the following four fundamental measures of firm size: book value, cash flow, sales and dividends.",86400,2,42.81,41.87,41.7485,42.585,42.81,41.87,41.7485,42.585,17.855627,268619,268619,127826,171250,171250,42.2,42.38,500,500,0.0145000005,2540880384,35.71,45.8,43.1508,40.6965,,,43.07,USD,Small Blend,0.035328,1.13,Invesco,1158710400,Exchange Traded Fund,0.079095,0.1115656,NGM,ETF,PRFZ,PRFZ,Invesco FTSE RAFI US 1500 Small,Invesco FTSE RAFI US 1500 Small-Mid ETF,1158759000,America/New_York,EST,fc150725-ca85-332b-8cd4-682cbccd7c6f,finmb_29227327,-18000000,,,,,,,
"The fund will invest at least 80% of its assets in the component securities of the underlying index, and it will invest at least 90% of its assets in fixed income securities of the types included in the underlying index that BFA believes will help the fund track the underlying index. The underlying index is a subset of the Bloomberg U.S. Convertibles: Cash Pay Bonds Index, which measures the performance of the U.S. dollar-denominated convertibles market.",86400,2,87.5694,86.54,86.4,87.54,87.5694,86.54,86.4,87.54,,346960,346960,296008,232120,232120,84.35,88.69,800,800,0.0219,2567203328,75.97,89.71,87.2408,82.21147,,,87.75854,USD,Convertibles,0.0323644,0.84,iShares,1433203200,Exchange Traded Fund,0.0431569,0.101055,BTS,ETF,ICVT,ICVT,iShares Convertible Bond ETF,iShares Convertible Bond ETF,1433424600,America/New_York,EST,90861eb0-6fd5-39cd-b4b7-b7a4091a95a4,finmb_285620683,-18000000,,1-800-474-2737,,,,,
The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index is comprised of bonds issued by emerging market governments and denominated in the local currency of the issuer. It may concentrate its investments in a particular industry or group of industries to the extent that the index concentrates in an industry or group of industries. The fund is non-diversified.,86400,2,23.4394,23.37,23.26,23.48,23.4394,23.37,23.26,23.48,,1295212,1295212,1604421,2830240,2830240,23.12,25.0,800,1000,0.0652,2590622720,22.94,25.55,23.5196,24.1448,,,23.8,USD,Emerging-Markets Local-Currency Bond,0.0302899,1.06,VanEck,1279756800,Exchange Traded Fund,-0.0026925998,-0.015328701,PCX,ETF,EMLC,EMLC,VanEck J. P. Morgan EM Local Cu,VanEck J.P. Morgan EM Local Currency Bond ETF,1279891800,America/New_York,EST,16718b1b-6c24-3e12-a976-2761e921f391,finmb_109864250,-18000000,,888-658-8287,,,,,
The fund adviser seeks to achieve its investment objective primarily through managed exposure to bitcoin futures contracts. The fund does not invest directly in bitcoin. The fund adviser will generally hold its bitcoin futures contracts during periods in which the value of bitcoin and bitcoin futures are flat or declining as well as during periods in which the value of bitcoin or bitcoin futures is rising. It is non-diversified.,86400,2,23.6532,22.08,22.0098,23.8299,23.6532,22.08,22.0098,23.8299,,14091371,14091371,11786260,10535430,10535430,23.7,23.61,3000,1200,0.6159,2345269248,16.11,33.79,24.8286,22.66825,,,25.4783,USD,Digital Assets,0.116769105,,ProShares,1634515200,Exchange Traded Fund,0.3422688,,PCX,ETF,BITO,BITO,ProShares Bitcoin ETF,ProShares Bitcoin ETF,1634736600,America/New_York,EST,568b1130-579d-37f6-8e53-77898f154e5e,finmb_1679448790,-18000000,,,,,,,
"The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the banks segment of the S&P Total Market Index (“S&P TMI”). The S&P TMI is designed to track the broad U.S. equity market. It may invest in equity securities that are not included in the index, cash and cash equivalents or money market instruments, such as repurchase agreements and money market funds.",86400,2,58.87,57.42,56.9303,58.38,58.87,57.42,56.9303,58.38,15.040931,1950454,1950454,2261646,1849880,1849880,57.76,58.74,900,1200,0.0235,2335367936,42.14,63.74,58.1822,52.26945,,,58.09466,USD,Financial,0.0470525,1.11,SPDR State Street Global Advisors,1131408000,Exchange Traded Fund,0.0441128,0.080498695,PCX,ETF,KBE,KBE,SPDR S&P Bank ETF,SPDR S&P Bank ETF,1132065000,America/New_York,EST,8e838e20-56b7-3155-b2e8-538cf42423b4,finmb_25874796,-18000000,,,,,,,
"The fund invests at least 80% of its assets in securities included in its underlying index, in depositary receipts representing securities included in its underlying index and in underlying stocks in respect of depositary receipts included in its underlying index. The index consists of equity securities of large and mid-capitalization equity issuers covering approximately the largest 85% of the free-float market capitalization in the United States.",86400,2,83.23,81.7,81.89,82.9482,83.23,81.7,81.89,82.9482,28.149752,46360,46360,189323,150200,150200,82.42,82.82,1300,800,0.0119,2386551296,67.4,84.31,82.437,77.27431,,,83.96,USD,Large Blend,0.0384758,1.01,Goldman Sachs,1589241600,Exchange Traded Fund,0.13076371,,BTS,ETF,GSUS,GSUS,Goldman Sachs MarketBeta U.S. E,Goldman Sachs MarketBeta US Equity ETF,1589895000,America/New_York,EST,1b275a8e-d207-3294-b951-2a6c682fa602,finmb_668021271,-18000000,,,,,,,
"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the Daily Target. The index includes 100 of the largest domestic and international non-financial companies listed on The Nasdaq Stock Market based on market capitalization. The fund is non-diversified.",86400,2,29.03,30.58,29.28,30.9199,29.03,30.58,29.28,30.9199,,88263518,88263518,45728465,53224850,53224850,29.72,29.75,2500,2500,0.102299996,2178293504,8.47,64.95,30.4292,40.0399,,,27.936,USD,Trading--Inverse Equity,-0.103082895,-3.51,ProShares,1265673600,Exchange Traded Fund,-0.4618439,-0.57878923,NGM,ETF,SQQQ,SQQQ,ProShares UltraPro Short QQQ,ProShares UltraPro Short QQQ,1265898600,America/New_York,EST,86a83cb2-e51d-3e85-84f2-e139b764597c,finmb_98126590,-18000000,,,,,,,
"The fund will invest at least 80% of its assets in the component instruments of the underlying index and will invest at least 90% of its assets in fixed income securities of the types included in the underlying index. The index consists of U.S. dollar-denominated, investment-grade securities publicly issued by U.S. and non-U.S. corporate issuers that have $300 million or more of outstanding face value at the time of inclusion.",86400,2,24.9656,24.99,24.93,24.99,24.9656,24.99,24.93,24.99,,512587,512587,549620,709950,709950,24.84,27.35,2200,4000,0.0467,2427650560,24.36,25.77,24.999,25.0163,,,24.97154,USD,Target Maturity,0.0036145,0.86,iShares,1537228800,Exchange Traded Fund,0.004376,0.0108045,PCX,ETF,IBDT,IBDT,iShares iBonds Dec 2028 Term Co,iShares iBonds Dec 2028 Term Corporate ETF,1537450200,America/New_York,EST,9ca86f60-465c-37c3-8ec6-7be6a488b6f6,finmb_574417690,-18000000,,1-800-474-2737,,,,,
"The fund invests at least 80% of its total assets in the securities of the underlying index and in American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"") based on the securities in the underlying index. The underlying index is designed to measure broad-based equity market performance of global companies involved in the copper mining industry. The fund is non-diversified.",86400,2,38.18,37.55,37.31,38.265,38.18,37.55,37.31,38.265,16.096819,906321,906321,1291146,987430,987430,37.15,38.0,800,800,0.0179,2579782656,33.9,52.9,40.4082,43.7511,,,40.03,USD,Natural Resources,0.046097398,1.23,Global X Funds,1271635200,Exchange Traded Fund,0.0403487,0.18718599,PCX,ETF,COPX,COPX,Global X Copper Miners ETF,Global X Copper Miners ETF,1271770200,America/New_York,EST,b57890d2-d654-39f6-92c2-8a14abaac6f2,finmb_102327242,-18000000,,+1 8884938631,,,,,
"The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in securities that the Adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index is designed to measure the performance of U.S. dollar-denominated, investment grade floating rate notes.",86400,2,30.7196,30.72,30.71,30.7201,30.7196,30.72,30.71,30.7201,,869962,869962,813411,746960,746960,30.71,30.72,1000,4000,0.056799997,2441327360,30.32,30.88,30.782,30.7746,,,30.81547,USD,Ultrashort Bond,0.0035795998,0.01,SPDR State Street Global Advisors,1322611200,Exchange Traded Fund,0.0481701,0.030481601,PCX,ETF,FLRN,FLRN,SPDR Bloomberg Investment Grade,SPDR Bloomberg Investment Grade Floating Rate ETF,1322749800,America/New_York,EST,bedc93c5-52fc-3084-96ae-f88e824315bd,finmb_143773983,-18000000,,,,,,,
The fund will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index measures the performance of U.S. stocks issued by large-mid capitalization companies that have exhibited above-average “growth” characteristics. It is non-diversified.,86400,2,91.82,90.04,89.74,91.5699,91.82,90.04,89.74,91.5699,38.017357,95019,95019,119366,202450,202450,86.27,95.37,900,1000,0.005,2455752192,70.48,94.61,91.2376,83.4091,0.203,0.0022108473,93.86243,USD,Large Growth,0.0475446,1.18,iShares,1088380800,Exchange Traded Fund,0.14984061,0.16943529,PCX,ETF,ILCG,ILCG,iShares Morningstar Large-Cap G,iShares Morningstar Growth ETF,1089725400,America/New_York,EST,cb1f7746-80d9-3e79-afa9-b61e60729b66,finmb_22701066,-18000000,,1-800-474-2737,,,,,
"The fund seeks to provide capital appreciation through participation in the broad equity markets while hedging overall market exposure relative to traditional long-only equity strategies. Under normal circumstances, it invests at least 80% of its assets in equity securities. The fund uses an enhanced index strategy to invest in equity securities similar to those in the S&P 500 Index, which primarily consist of common stocks of large capitalization U.S. companies.",86400,2,62.8,62.2,62.0611,62.7393,62.8,62.2,62.0611,62.7393,27.570229,372739,372739,351395,332480,332480,61.66,66.5,1100,1000,0.006,2232729856,54.1,63.5,62.7568,59.946774,,,63.3023,USD,Equity Hedged,0.0211154,,JPMorgan,1695859200,Exchange Traded Fund,,,PCX,ETF,HELO,HELO,J.P. Morgan Exchange-Traded Fun,Jpmorgan Hedged Equity Laddered Overlay ETF,1695994200,America/New_York,EST,f98c72f7-9455-37ae-95f2-474f7f79b047,finmb_1846306795,-18000000,,(800) 480-4111,,,,,
"The fund employs an indexing investment approach designed to track the performance of the index. The index measures the performance of mid-size companies in the United States. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.",86400,2,109.52,107.37,106.87,108.8305,109.52,107.37,106.87,108.8305,19.851822,201044,201044,85403,87780,87780,103.0,117.0,1800,800,0.012999999,3970722816,91.75,115.71,109.569,104.1836,,,110.79,USD,Mid-Cap Blend,0.0500474,1.09,Vanguard,1301270400,Exchange Traded Fund,0.0908944,0.1127604,PCX,ETF,IVOO,IVOO,Vanguard S&P Mid-Cap 400 ETF,Vanguard S&P Mid-Cap 400 Index Fund ETF Shares,1284039000,America/New_York,EST,66728eeb-2126-3b8a-b7c0-72faf07706a3,finmb_113108198,-18000000,,,,,,,
