symbol;fund_name;asset_class;assets;maxAge;ytdReturn;fiftyTwoWeekLow;fiftyTwoWeekHigh;fiftyDayAverage;navPrice;currency;category;threeYearAverageReturn;fiveYearAverageReturn;longBusinessSummary;bid;ask;bidSize;askSize
SOXL;Direxion Daily Semiconductor Bull 3x Shares;Equity;1,003E+13;86400;1955328;235;7008;292268;32727;USD;Trading--Leveraged Equity;-974094;104144804;The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index, that, in combination, provide 3X daily leveraged exposure to the index, consistent with the fund's investment objective. The index is a rules-based, modified float-adjusted market capitalization-weighted index that tracks the performance of the thirty largest U.S. listed semiconductor companies. The fund is non-diversified.;2647;2646;3000;2900
DFAS;Dimensional U.S. Small Cap ETF;Equity;1,003E+13;86400;40104497;56874;7178;675292;676797;USD;Small Blend;762357;108841494;The fund, using a market capitalization weighted approach, is designed to generally purchase a broad and diverse group of securities of U.S. small cap companies. As a non-fundamental policy, normally, the fund will invest at least 80% of its net assets in securities of small cap U.S. companies. The fund may purchase or sell futures contracts and options on futures contracts for U.S. equity securities and indices, to increase or decrease equity market exposure based on actual or expected cash inflows to or outflows from the Portfolio.;625;7197;900;1000
GLDM;SPDR Gold MiniShares Trust;Commodity;9,97E+12;86400;561646;39345;5608;529076;5501419;USD;Commodities Focused;1449923;1186919;The Shares are designed for investors who want a cost-effective and convenient way to invest in gold. Advantages of investing in the Shares include ease and flexibility of investment and expenses.;5571;5589;27000;3100
SPIB;SPDR Portfolio Intermediate Term Corporate Bond ETF;Fixed Income;9,93E+12;86400;27473;3198;3386;329058;3283761;USD;Corporate Bond;90919;135277;The fund invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in securities that the Adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index is designed to measure the performance of U.S. corporate bonds that have a maturity of greater than or equal to 1 year and less than 10 years.;3272;350;2200;40700
SPEM;SPDR Portfolio Emerging Markets ETF;Equity;9,86E+12;86400;143341;3394;4288;390126;3870527;USD;Diversified Emerging Mkts;11285599;37393898;The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in depositary receipts based on securities comprising the index. The index is a float-adjusted market capitalization weighted index designed to define and measure the investable universe of publicly traded companies domiciled in emerging markets.;372;399;3100;4000
PULS;PGIM Ultra Short Bond ETF;Fixed Income;9,83E+12;86400;36327;4945;4981;49674;49719;USD;Ultrashort Bond;47491103;317834;The fund invests primarily in a portfolio of investment grade, U.S. dollar denominated short-term fixed, variable and floating rate debt instruments. Under normal market conditions, it invests at least 80% of its investable assets in bonds with varying maturities. Although the fund may invest in instruments of any duration or maturity, it normally will seek to maintain a weighted average portfolio duration of one year or less and a weighted average maturity of three years or less.;4961;4958;29200;21500
VGLT;Vanguard Long-Term Treasury ETF;Fixed Income;9,76E+12;86400;-271;538;6341;564086;5516;USD;Long Government;-1087133;-613562;The fund employs an indexing investment approach designed to track the performance of the Bloomberg U.S. Long Treasury Index. This index includes fixed income securities issued by the U.S. Treasury (not including inflation-protected bonds, floating rate securities and certain other security types), with maturities greater than 10 years. Under normal circumstances, at least 80% of the fund's assets will be invested in bonds included in the index.;5576;5578;100;100
IJK;iShares S&P Mid-Cap 400 Growth ETF;Equity;9,75E+12;86400;561971;7906;10001;947624;9608912;USD;Mid-Cap Growth;91153696;1078322;The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents.;9338;9343;800;1000
FNDA;Schwab Fundamental U.S. Small Company ETF;Equity;9,57E+12;86400;340067;26215;5854;307356;3071;USD;Small Blend;69556095;1067319;The fund normally will invest at least 90% of its net assets (including, for this purpose, any borrowings for investment purposes) in stocks included in the index. The index measures the performance of the small company size segment by fundamental overall company scores (scores), which are created using as the universe the U.S. companies in the RAFI Global Equity Investable Universe (the parent universe).;290;310;3100;3100
PAVE;Global X U.S. Infrastructure Development ETF;Equity;9,5E+12;86400;81168;3472;4618;428614;4366;USD;Infrastructure;1893863;2074654;"The fund invests at least 80% of its total assets in the securities of the underlying index. The underlying index is designed to measure the performance of U.S. listed companies that provide exposure to domestic infrastructure development, including companies involved in construction and engineering; production of infrastructure raw materials, composites and products; industrial transportation; and producers/distributors of heavy construction equipment.";4163;4241;1400;900
FVD;First Trust Value Line Dividend Index Fund;Equity;9,44E+12;86400;181027;3973;4683;44671;4447;USD;Large Value;460188;637966;"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the securities that comprise the index. The index seeks to measure the performance of the securities ranked #1 or #2 according to the index provider's proprietary Value Line® Safety™ Ranking System (the ""Safety Ranking System"") that are also still expected to provide above-average dividend yield.";4432;4433;3100;800
SRLN;SPDR Blackstone Senior Loan ETF;Fixed Income;9,25E+12;86400;62304996;4071;4213;418852;4205769;USD;Bank Loan;47884896;438698;"The fund seeks to outperform the Markit iBoxx USD Liquid Leveraged Loan Index and the Morningstar LSTA U.S. Leveraged Loan 100 Index by normally investing at least 80% of its net assets (plus any borrowings for investment purposes) in Senior Loans. For purposes of this 80% test, ""Senior Loans"" are first lien senior secured floating rate bank loans.";4162;4164;29200;36100
SCHE;Schwab Emerging Markets Equity ETF;Equity;9,23E+12;86400;168982;2377;3025;271756;2699;USD;Diversified Emerging Mkts;33528;285868;"The fund generally invests in stocks that are included in the FTSE Emerging Index. The index is comprised of large and mid capitalization companies in emerging market countries, as defined by the index provider. The fund will invest at least 90% of its net assets (including, for this purpose, any borrowings for investment purposes) in these stocks, including depositary receipts representing securities of the index; such depositary receipts may be in the form of ADRs, GDRs and EDRs.";2612;2721;800;4000
FTCS;First Trust Capital Strength ETF;Equity;8,93E+12;86400;24026401;8089;9423;900712;8997;USD;Large Blend;621215;925947;The fund will normally invest at least 90% of its net assets (including investment borrowings) in the securities that comprise the index. The index seeks to provide exposure to well-capitalized companies with strong market positions that have the potential to provide their stockholders with a greater degree of stability and performance over time.;8986;901;1000;1000
INDA;iShares MSCI India ETF;Equity;8,87E+12;86400;-37234;4982;5949;531394;5072054;USD;India Equity;46718203;898206;The fund generally will collectively invest at least 80% of the fund's assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index measures the performance of equity securities of companies whose market capitalization, as calculated by the index provider, represents the large- and mid-capitalization segments of the Indian securities market. The fund is non-diversified.;5095;515;1800;2200
IJJ;iShares S&P Mid-Cap 400 Value ETF;Equity;8,8E+12;86400;416933;10867;13642;1290352;13016037;USD;Mid-Cap Value;88012196;1115926;The index measures the performance of the mid-capitalization value sector of the U.S. equity market. The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents.;12524;12885;1000;1000
SUB;iShares Short-Term National Muni Bond ETF;Fixed Income;8,77E+12;86400;10429;10353;1063;1055554;10542749;USD;Muni National Short;13126399;102421995;The fund will invest at least 80% of its assets in the component securities of the underlying index, and the fund will invest at least 90% of its assets in fixed income securities of the types included in the underlying index that the advisor believes will help the fund track the underlying index. The underlying index includes municipal bonds, the interest of which is exempt from Federal income taxes and not subject to alternative minimum tax.;10578;10579;1000;1100
QYLD;Global X NASDAQ 100 Covered Call ETF;Equity;8,75E+12;86400;27909601;1591;1881;183532;1854;USD;Derivative Income;965193;76405704;"The fund will invest at least 80% of its total assets in the securities of the underlying index. The CBOE NASDAQ-100® BuyWrite Index is a benchmark index that measures the performance of a theoretical portfolio that holds a portfolio of the stocks included in the NASDAQ-100® Index, and ""writes"" (or sells) a succession of one-month at-the-money NASDAQ-100® Index covered call options. It is non-diversified.";1838;184;500;500
XLG;Invesco S&P 500 Top 50 ETF;Equity;8,74E+12;86400;30224198;3975;518;504102;5146;USD;Large Blend;1620762;17817499;The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The index provider compiles, maintains and calculates the underlying index, which consists of the 50 largest companies in the S&P 500® Index based on float-adjusted market capitalization. The underlying index's components are weighted by float-adjusted market capitalization. The fund is non-diversified.;5025;516;3100;3200
MGV;Vanguard Mega Cap Value ETF;Equity;8,74E+12;86400;478745;11066;13382;1286386;13089;USD;Large Value;105512105;11285129;The fund employs an indexing investment approach designed to track the performance of the index. The index is a float-adjusted, market-capitalization-weighted index designed to measure equity market performance of mega-capitalization value stocks in the United States. The Advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.;13013;1320;1000;1400
DFIV;Dimensional International Value ETF;Equity;8,71E+12;86400;46505097;33221;38515;362504;37078;USD;Foreign Large Value;759961;84314205;"The Advisor buys and sells securities for the Portfolio with the goals of: (i) delaying and minimizing the realization of net capital gains (e.g., selling stocks with capital losses to offset gains, realized or anticipated); and (ii) maximizing the extent to which any realized net capital gains are long-term in nature (i.e., taxable at lower capital gains tax rates). The fund is designed to generally purchase securities of large non-U.S. companies in countries with developed markets that the Advisor determines to be lower relative price stocks.";3665;4031;800;3100
ESGD;iShares ESG Aware MSCI EAFE ETF;Equity;8,68E+12;86400;450486;7405;85037;779334;794466;USD;Foreign Large Blend;44531997;570116;The fund generally will invest at least 90% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The underlying index is composed of large- and mid-capitalization developed market equities, excluding the U.S. and Canada that have positive environmental, social and governance characteristics as identified by the index provider while exhibiting risk and return characteristics similar to those of the parent index.;720;8456;200;200
VSS;Vanguard FTSE All-World ex-US Small-Cap ETF;Equity;8,66E+12;86400;13015401;10916;1268;1166146;11567;USD;Foreign Small/Mid Blend;3908;369163;The fund employs an indexing investment approach designed to track the performance of the index. The advisor attempts to sample the target index by investing all, or substantially all, of its assets in common stocks in the index and by holding a representative sample of securities that resembles the full index in terms of key risk factors and other characteristics.;11055;1200;1000;900
SCZ;iShares MSCI EAFE Small-Cap ETF;Equity;8,61E+12;86400;266667;5879;6833;61985;6232022;USD;Foreign Small/Mid Blend;-22296999;28724799;The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index represents the small-capitalization segment of the MSCI EAFE IMI Index.;6035;6201;100;200
SPSB;SPDR Portfolio Short Term Corporate Bond ETF;Fixed Income;8,6E+12;86400;3349;2946;3031;299162;2994501;USD;Short-Term Bond;272942;21837398;The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in securities that the Adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index is designed to measure the performance of the short term U.S. corporate bond market.;2985;2988;39400;38500
SCHZ;Schwab US Aggregate Bond ETF;Fixed Income;8,53E+12;86400;17621;22265;4717;228692;2274;USD;Intermediate Core Bond;-179459;-59859995;The fund will invest at least 90% of its net assets in securities included in the index. The index is a broad-based benchmark measuring the performance of the U.S. investment grade, taxable bond market, including U.S. Treasuries, government-related and corporate bonds, mortgage pass-through securities, commercial mortgage-backed securities, and asset-backed securities that are publicly available for sale in the United States.;2276;2277;1200;40000
SDVY;First Trust SMID Cap Rising Dividend Achievers ETF;Equity;8,47E+12;86400;54393303;314;40597;375872;3778;USD;Small Value;1143857;1398983;The fund will normally invest at least 90% of its net assets (including investment borrowings) in common stocks that comprise the index. The index is designed to provide access to a diversified portfolio of 100 small and mid cap companies with a history of raising their dividends and exhibit the characteristics to continue to do so in the future.;3661;368;100;100
FLOT;iShares Floating Rate Bond ETF;Fixed Income;8,24E+12;86400;29481;5028;5116;50952;509642;USD;Ultrashort Bond;483954;308171;The fund will invest at least 80% of its assets in the component securities of the underlying index, and the fund will invest at least 90% of its assets in fixed income securities of the types included in the underlying index that BFA believes will help the fund track the underlying index.;5089;5091;21500;21500
SPAB;SPDR Portfolio Aggregate Bond ETF;Fixed Income;8,19E+12;86400;20008;2449;2635;251738;2503203;USD;Intermediate Core Bond;-179242;-59344;The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in securities that the Adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index is designed to measure the performance of the U.S. dollar denominated investment grade bond market.;1254;2749;38500;38500
AVUS;Avantis U.S. Equity ETF;Equity;8,16E+12;86400;442587;82415;10223;995946;1011898;USD;Large Blend;12149861;1454113;The fund invests primarily in a diverse group of U.S. companies across market sectors and industry groups. It may invest in companies of all market capitalizations. Under normal market conditions, the fund will invest at least 80% of its assets in equity securities of U.S. companies. It also may invest in derivative instruments such as futures contracts, currency forwards, and swap agreements.;9275;10732;800;1000
VYMI;Vanguard International High Dividend Yield ETF;Equity;8,11E+12;86400;319682;6458;7428;693332;6993;USD;Foreign Large Value;60002297;67417696;The fund invests by sampling the index, meaning that it holds a broadly diversified collection of securities that, in the aggregate, approximates the full index in terms of key characteristics. The index focuses on companies located in developed and emerging markets, excluding the United States, that are forecasted to have above-average dividend yields.;6359;7469;200;200
JNK;SPDR Bloomberg High Yield Bond ETF;Fixed Income;8,1E+12;86400;140358;9247;979;963432;9663417;USD;High Yield Bond;319848;334895;The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in securities that the Adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index is designed to measure the performance of publicly issued U.S. dollar denominated high yield corporate bonds with above-average liquidity. -null-.;9502;967;1400;2200
FNGU;MicroSectors FANG+ Index 3X Leveraged ETN;Equity;8,03E+12;86400;1528642;25233;69787;5922012;6717041;USD;Trading--Leveraged Equity;3917048;5495127;The notes are intended to be daily trading tools for sophisticated investors to manage daily trading risks as part of an overall diversified portfolio. The index is an equal-dollar weighted index designed to represent a segment of the technology and consumer discretionary sectors consisting of highly-traded growth stocks of technology and tech-enabled companies.;6235;62489;4000;800
IQLT;iShares MSCI Intl Quality Factor ETF;Equity;7,94E+12;86400;490302;3657;4193;38212;389619;USD;Foreign Large Blend;42369198;620734;The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index measures the performance of international developed large- and mid-capitalization stocks exhibiting relatively higher quality characteristics as identified through three fundamental variables: return on equity, earnings variability and debt-to-equity.;385;3851;1100;1000
SCHI;Schwab 5-10 Year Corporate Bond ETF;Fixed Income;7,94E+12;86400;18124001;214975;457;222308;2212;USD;Corporate Bond;-32927;60492996;To pursue its goal, the fund generally invests in securities that are included in the index. The index measures the performance of U.S. investment grade, taxable corporate bonds with maturities greater than or equal to five years and less than ten years that have $300 million or more of outstanding face value. It is the fund's policy that under normal circumstances it will invest at least 90% of its net assets in securities included in the index.;2154;224;36200;34100
QLD;ProShares Ultra QQQ;Equity;7,9E+12;86400;669808;7528;12068;1113222;1154965;USD;Trading--Leveraged Equity;18412451;2839753;The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the Daily Target. The index includes 100 of the largest domestic and international non-financial companies listed on The Nasdaq Stock Market based on market capitalization. The fund is non-diversified.;11196;11174;900;900
SPYD;SPDR Portfolio S&P 500 High Dividend ETF;Equity;7,87E+12;86400;17345099;3735;4752;445676;4401452;USD;Mid-Cap Value;638597;7278;"Under normal market conditions, the fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index is designed to measure the performance of 80 high dividend-yielding companies within the S&P 500® Index. The S&P 500 Index focuses on the large capitalization U.S. equity market, including common stock and real estate investment trusts (""REITs"").";4314;4414;3100;3000
VDE;Vanguard Energy ETF;Equity;7,83E+12;86400;622372;11445;13792;1272084;12882;USD;Equity Energy;1808135;15633701;The fund employs an indexing investment approach designed to track the performance of the index, an index made up of stocks of large, mid-size, and small U.S. companies within the energy sector, as classified under the GICS. The Advisor attempts to replicate the target index by seeking to invest all, or substantially all, of its assets in the stocks that make up the index, in order to hold each stock in approximately the same proportion as its weighting in the index. The fund is non-diversified.;12408;1265;900;900
DFAI;Dimensional International Core Equity Market ETF;Equity;7,82E+12;86400;41438397;2796;3211;298296;303642;USD;Foreign Large Blend;497477;;The fund will invest in companies of all sizes, with increased exposure to smaller capitalization, lower relative price, and higher profitability companies as compared to their representation in the International Universe. As a non-fundamental policy, under normal circumstances, it will invest at least 80% of its net assets in equity securities. The Advisor may also increase or reduce the fund's exposure to an eligible company, or exclude a company, based on shorter-term considerations, such as a company's price momentum, short-run reversals, and investment characteristics.;2972;3176;1300;1400
ONEQ;Fidelity Nasdaq Composite Index ETF;Equity;7,77E+12;86400;330003;5998;7975;77013;7853051;USD;Large Growth;1419372;1757562;The fund normally invests at least 80% of assets in common stocks included in the index. The advisor uses statistical sampling techniques that take into account such factors as capitalization, industry exposures, dividend yield, price/earnings (P/E) ratio, price/book (P/B) ratio, and earnings growth to create a portfolio of securities listed in the Nasdaq Composite Index® that have a similar investment profile to the entire index.;7616;764;200;100
CALF;Pacer US Small Cap Cash Cows 100 ETF;Equity;7,76E+12;86400;28175399;4219;4959;456734;452639;USD;Small Value;456843;1269526;Under normal circumstances, at least 80% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in the component securities of the index. The index uses an objective, rules-based methodology to provide exposure to small-capitalization U.S. companies with high free cash flow yields.;4207;439;3200;1300
PRF;Invesco FTSE RAFI US 1000 ETF;Equity;7,74E+12;86400;436292;3548;4302;415406;4211;USD;Large Value;1026617;1284123;The fund generally will invest at least 90% of its total assets in securities that comprise the underlying index. Strictly in accordance with their guidelines and mandated procedures, the index provider compile and maintain the underlying index, which is composed of approximately 1,000 common stocks and is designed to track the performance of the largest U.S. companies based on the following four fundamental measures of firm size: book value, cash flow, sales and dividends.;4184;440;1400;800
IJS;iShares S&P Small-Cap 600 Value ETF;Equity;7,74E+12;86400;275297;9389;11928;111959;11162385;USD;Small Value;502796;90648204;The fund generally will invest at least 80% of its assets in the component securities of its underling index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents.;1020;1122;900;800
BBCA;JPMorgan BetaBuilders Canada ETF;Equity;7,73E+12;86400;317325;6137;7562;726078;727898;USD;Miscellaneous Region;63741796;928279;The fund will invest at least 80% of its assets in securities included in the underlying index. The underlying index is a free float adjusted market capitalization weighted index which consists of stocks traded primarily on the Toronto Stock Exchange. The fund may invest up to 20% of its assets in exchange-traded futures and forward foreign currency contracts to seek performance that corresponds to the underlying index.;5355;7319;1100;1200
DUHP;Dimensional US High Profitability ETF;Equity;7,68E+12;86400;364013;2946;3579;346364;350309;USD;Large Blend;;;The portfolio is designed to purchase a broad and diverse group of readily marketable securities of large U.S. companies that the Advisor determines to have high profitability relative to other U.S. large cap companies at the time of purchase. As a non-fundamental policy, under normal circumstances, the portfolio will invest at least 80% of its net assets in securities of U.S. companies.;3454;3509;2900;2200
DFIC;Dimensional International Core Equity 2 ETF;Equity;7,63E+12;86400;37338;2474;2842;263627;2677;USD;Foreign Large Blend;;;The Portfolio is designed to purchase a broad and diverse group of equity securities of non-U.S. companies in developed markets. The Portfolio invests in companies of all sizes, with increased exposure to smaller capitalization, lower relative price, and higher profitability companies as compared to their representation in the International Universe.;249;2769;3100;1300
FXI;iShares China Large-Cap ETF;Equity;7,56E+12;86400;289093;2154;375;305796;3130603;USD;China Region;-357972;-370928;The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index designed to measure the performance of the largest companies in the Chinese equity market that trade on the Stock Exchange of Hong Kong and are available to international investors. The fund is non-diversified.;3192;3196;34100;29200
BINC;iShares Flexible Income Active ETF;Fixed Income;7,51E+12;86400;69204;5153;53565;524092;5223108;USD;Multisector Bond;;;"Under normal market conditions, the fund will invest in a combination of fixed-income securities, including, but not limited to: high yield securities; obligations issued or guaranteed by the U.S. government, its agencies or instrumentalities; mortgage-backed securities issued or guaranteed by the U.S. government or its agencies or instrumentalities. The fund is non-diversified.";522;5248;3000;1300
SCHH;Schwab U.S. REIT ETF;Equity;7,5E+12;86400;128205;1845;2366;216264;2133;USD;Real Estate;-89654;76911002;The index excludes mortgage REITs, defined as REITs that lend money directly to real estate owners and/or operators or indirectly through the purchase of mortgages or mortgage-backed securities, and hybrid REITs, defined as REITs that participate both in equity and mortgage investing. It is the fund’s policy that under normal circumstances it will invest at least 90% of its net assets in securities included in the index.;2123;214;3100;38500
DFAU;Dimensional US Core Equity Market ETF;Equity;7,42E+12;86400;395159;3394;4242;414298;421007;USD;Large Blend;1258626;;The fund will invest in companies of all sizes, with increased exposure to smaller capitalization, lower relative price, and higher profitability companies as compared to their representation in the U.S. Universe. As a non-fundamental policy, under normal circumstances, it will invest at least 80% of its net assets in equity securities of U.S. companies. The Advisor may also increase or reduce the fund's exposure to an eligible company, or exclude a company, based on shorter-term considerations, such as a company's price momentum, short-run reversals and investment characteristics.;4131;4136;1300;3200
EZU;iShares MSCI Eurozone ETF;Equity;7,38E+12;86400;735169;4602;5307;483152;5060283;USD;Europe Stock;54368;674607;The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index consists of securities from the following 10 developed market countries: Austria, Belgium, Finland, France, Germany, Ireland, Italy, the Netherlands, Portugal and Spain.;470;5018;1000;1400
SPLV;Invesco S&P 500 Low Volatility ETF;Equity;7,36E+12;86400;168715;6237;7514;71483;7106;USD;Large Value;53171102;557745;The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. Strictly in accordance with its guidelines and mandated procedures, S&P Dow Jones Indices LLC (the “index Provider”) compiles, maintains and calculates the underlying index, which is designed to measure the performance of the 100 least volatile constituents of the S&P 500 ® Index over the past 12 months as determined by the index Provider.;7029;720;1400;2900
AVEM;Avantis Emerging Markets Equity ETF;Equity;7,35E+12;86400;178602;5468;6631;600074;596862;USD;Diversified Emerging Mkts;168654;465106;The fund invests primarily in a diverse group of companies related to emerging markets across market sectors, industry groups and countries. The fund may invest in companies of all market capitalizations. Under normal market conditions, the fund will invest at least 80% of its assets in equity securities of companies related to emerging market countries.;2937;6347;800;800
DBEF;Xtrackers MSCI EAFE Hedged Equity ETF;Equity;7,33E+12;86400;43961402;3739;4387;420932;43061;USD;Foreign Large Blend;120052405;102118105;"The fund, using a ""passive"" or indexing investment approach, seeks investment results that correspond generally to the performance, before fees and expenses, of the underlying index, which is designed to track developed market performance while mitigating exposure to fluctuations between the value of the U.S. dollar and the currencies of the countries included in the underlying index. It will invest at least 80% of its total assets in component securities of the underlying index. It is non-diversified.";4307;4315;1000;900
DFAX;Dimensional World ex U.S. Core Equity 2 ETF;Equity;7,32E+12;86400;301689;2368;27329;253354;255705;USD;Foreign Large Blend;346689;57591;"Generally, the Advisor buys and sells securities for the Portfolio with the goals of: (i) delaying and minimizing the realization of net capital gains (e.g., selling stocks with capital losses to offset gains, realized or anticipated); and (ii) maximizing the extent to which any realized net capital gains are long-term in nature (i.e., taxable at lower capital gains tax rates). The Portfolio is designed to purchase a broad and diverse group of equity securities of non-U.S. companies in countries with developed and emerging markets.";2374;266;800;1300
VIGI;Vanguard International Dividend Appreciation ETF;Equity;7,28E+12;86400;337542;7728;8909;81887;8255;USD;Foreign Large Growth;316743;552525;The index focuses on common stocks of high-quality companies located in developed and emerging markets, excluding the U.S., that have both the ability and the commitment to grow their dividends over time. The manager attempts to replicate the target index by investing all, or substantially all, of its assets in the collection of securities that make up the index, holding each stock in approximately the same proportion as its weighting in the index.;8152;8203;300;300
FDN;First Trust Dow Jones Internet Index Fund;Equity;7,27E+12;86400;63042305;1772;26626;248854;2586;USD;Technology;1016377;117738105;The fund will normally invest at least 90% of its net assets (including investment borrowings) in the securities that comprise the index. The index is designed to measure the performance of the largest and most actively traded securities issued by U.S. companies in the Internet industry. The index is a composite of its two sub-indices, the Dow Jones Internet Commerce Index and the Dow Jones Internet Services Index. It is non-diversified.;25955;26464;1200;800
SPHY;SPDR Portfolio High Yield Bond ETF;Fixed Income;7,24E+12;86400;140605;2282;2407;236792;2375461;USD;High Yield Bond;424209;455577;The fund invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in securities that the Adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index is designed to measure the performance of U.S. dollar denominated below investment grade corporate debt publicly issued in the U.S. domestic market.;2361;2368;1100;27000
VLUE;iShares MSCI USA Value Factor ETF;Equity;7,22E+12;86400;514156;9851;11588;1095596;11104472;USD;Large Value;416921;72772495;"The fund generally will invest at least 80% of its assets in the component securities of the underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. The index is based on a traditional market capitalization-weighted parent index, the MSCI USA Index (the ""parent index""). The parent index includes U.S. large- and mid- capitalization stocks.";8199;11757;1200;900
XLRE;Real Estate Select Sector SPDR Fund;Equity;7,19E+12;86400;216376;3557;4558;420048;4155434;USD;Real Estate;-6399;423078;Under normal market conditions, the fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Real Estate companies by the Global Industry Classification Standard (GICS®). The fund is non-diversified.;4137;4135;1800;2200
VDC;Vanguard Consumer Staples ETF;Equity;7,17E+12;86400;10881;19192;2244;2154182;21152;USD;Consumer Defensive;519313;81257;The fund employs an indexing investment approach designed to track the performance of the index, an index made up of stocks of large, mid-size, and small U.S. companies within the consumer staples sector, as classified under the GICS. The Advisor attempts to replicate the target index by seeking to invest all, or substantially all, of its assets in the stocks that make up the index, in order to hold each stock in approximately the same proportion as its weighting in the index. The fund is non-diversified.;2060;22402;800;800
SOXS;Direxion Daily Semiconductor Bear 3x Shares;Equity;7,11E+12;86400;-1949266;1635;521;21462;18071;USD;Trading--Inverse Equity;-65195066;-7541639;The fund invests at least 80% of the fund’s net assets in financial instruments, that, in combination, provide 3X daily inverse (opposite) or short exposure to the index or to ETFs that track the index, consistent with the fund’s investment objective. The index is a rules-based, modified float-adjusted market capitalization-weighted index that tracks the performance of the thirty largest U.S. listed semiconductor companies. The fund is non-diversified.;2092;2097;4000;3100
IAGG;iShares Core International Aggregate Bond ETF;Fixed Income;7,03E+12;86400;4006;487;527;508428;4991713;USD;Global Bond-USD Hedged;60455;49241;The fund seeks to track the investment results of the index, which measures the performance of the global investment-grade bond market. The fund will invest at least 80% of its assets in the component securities of the underlying index.;5029;503;2200;3200
VPL;Vanguard FTSE Pacific ETF;Equity;6,98E+12;86400;30123899;6757;7975;72906;7309;USD;Diversified Pacific/Asia;216628;374856;The fund employs an indexing investment approach by investing all, or substantially all, of its assets in the common stocks included in the FTSE Developed Asia Pacific All Cap Index. The FTSE Developed Asia Pacific All Cap Index is a market-capitalization weighted index.;702;7451;900;800
VCR;Vanguard Consumer Discretionary ETF;Equity;6,9E+12;86400;320475;28484;40225;3820054;38768;USD;Consumer Cyclical;941961;163811;The fund employs an indexing investment approach designed to track the performance of the index, an index made up of stocks of large, mid-size, and small U.S. companies within the consumer discretionary sector, as classified under the GICS. The Advisor attempts to replicate the target index by seeking to invest all of its assets in the stocks that make up the index, in order to hold each stock in approximately the same proportion as its weighting in the index. It is non-diversified.;38063;39011;800;800
SPTI;SPDR Portfolio Intermediate Term Treasury ETF;Fixed Income;6,89E+12;86400;17934;2742;2928;280238;2792221;USD;Intermediate Government;-141303;-38694001;The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in securities that the Adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index is designed to measure the performance of intermediate term (3-10 years) public obligations of the U.S. Treasury.;279;2967;36900;3100
